epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7523,0.88475,2.31831,1.38336,0.03176,0.0641,0.01969,0.00724,1.59389,5.13908,2.28934,0.000328704,0.000328704,0.000328704
2,137.823,1.06618,1.87603,1.5264,0.05703,0.32051,0.05597,0.02167,1.96838,10.7383,2.92864,0.000653298,0.000653298,0.000653298
3,199.139,1.11055,1.95473,1.54638,0.10714,0.02564,0.06221,0.02464,2.178,20.6891,3.2925,0.000969093,0.000969093,0.000969093
4,246.543,1.10955,1.93351,1.54351,0,0,0,0,1.62413,7.42688,2.39954,0.0009604,0.0009604,0.0009604
5,290.858,1.09313,1.89745,1.54986,0,0,0,0,1.98602,7.2985,2.71271,0.0009472,0.0009472,0.0009472
6,334.107,1.06124,1.79625,1.5043,0,0,0,0,1.58427,6.70958,2.28845,0.000934,0.000934,0.000934
7,376.314,0.99626,1.70606,1.47803,0,0,0,0,1.34214,5.8454,2.02802,0.0009208,0.0009208,0.0009208
8,420.76,0.94096,1.58455,1.42267,0,0,0,0,1.49225,6.54257,2.12663,0.0009076,0.0009076,0.0009076
9,464.087,0.91726,1.5034,1.40886,0,0,0,0,1.26787,6.66833,2.0319,0.0008944,0.0008944,0.0008944
10,507.567,0.89616,1.49556,1.39584,0,0,0,0,1.19164,6.82965,1.96083,0.0008812,0.0008812,0.0008812
11,549.448,0.88074,1.43505,1.39837,0,0,0,0,1.36703,6.55475,1.92151,0.000868,0.000868,0.000868
12,592.961,0.8574,1.3836,1.35538,0,0,0,0,1.24635,6.32915,1.91761,0.0008548,0.0008548,0.0008548
13,638.688,0.83817,1.30322,1.34687,0,0,0,0,1.18963,6.6103,1.87425,0.0008416,0.0008416,0.0008416
14,683.409,0.82778,1.31995,1.34772,0,0,0,0,1.32084,6.74475,2.01191,0.0008284,0.0008284,0.0008284
15,725.843,0.78615,1.25747,1.31138,0,0,0,0,1.18721,6.32855,1.86434,0.0008152,0.0008152,0.0008152
16,772.061,0.77729,1.21479,1.30167,0,0,0,0,1.35176,6.84886,2.02463,0.000802,0.000802,0.000802
17,818.524,0.7818,1.22399,1.31252,0,0,0,0,1.28153,7.00391,1.94817,0.0007888,0.0007888,0.0007888
18,864.814,0.78322,1.17663,1.31434,0,0,0,0,1.25277,6.3948,1.88988,0.0007756,0.0007756,0.0007756
19,909.651,0.74039,1.14107,1.27861,0,0,0,0,1.14886,7.23387,1.81035,0.0007624,0.0007624,0.0007624
20,955.637,0.77218,1.15942,1.29479,0,0,0,0,1.04458,6.68937,1.68558,0.0007492,0.0007492,0.0007492
21,1002.37,0.74581,1.14002,1.26996,0,0,0,0,1.07252,6.99146,1.69304,0.000736,0.000736,0.000736
22,1048.6,0.72034,1.08369,1.26512,0,0,0,0,1.08443,6.76419,1.74701,0.0007228,0.0007228,0.0007228
23,1092.63,0.7129,1.04951,1.25888,0,0,0,0,1.1995,6.86177,1.81934,0.0007096,0.0007096,0.0007096
24,1138.29,0.71353,1.05193,1.24516,0,0,0,0,1.18867,7.29804,1.87174,0.0006964,0.0006964,0.0006964
25,1184.21,0.72748,1.06242,1.27195,0,0,0,0,1.0779,6.6765,1.8282,0.0006832,0.0006832,0.0006832
26,1230.62,0.69062,1.03839,1.2367,0,0,0,0,1.17842,6.91523,1.75336,0.00067,0.00067,0.00067
27,1273.11,0.6865,1.01666,1.24385,0,0,0,0,1.14596,6.90812,1.83405,0.0006568,0.0006568,0.0006568
28,1317.69,0.66805,0.98935,1.21986,0,0,0,0,1.10301,7.04418,1.77332,0.0006436,0.0006436,0.0006436
29,1364.02,0.6805,0.93565,1.2386,0,0,0,0,1.11806,7.03714,1.74832,0.0006304,0.0006304,0.0006304
30,1408.56,0.652,0.94196,1.20743,0,0,0,0,1.12142,7.14853,1.72248,0.0006172,0.0006172,0.0006172
31,1452.29,0.65781,0.97338,1.21621,0,0,0,0,1.15806,7.01156,1.72669,0.000604,0.000604,0.000604
32,1496.24,0.65914,0.91186,1.2146,0,0,0,0,1.18042,7.42776,1.78332,0.0005908,0.0005908,0.0005908
33,1540.14,0.6277,0.9119,1.19613,0,0,0,0,1.01451,7.38462,1.68444,0.0005776,0.0005776,0.0005776
34,1584.16,0.63658,0.89156,1.19249,0,0,0,0,1.15424,7.59123,1.78104,0.0005644,0.0005644,0.0005644
35,1627.55,0.63686,0.88948,1.19684,0,0,0,0,0.97391,7.1854,1.60865,0.0005512,0.0005512,0.0005512
36,1671.57,0.62528,0.87017,1.1942,0,0,0,0,1.18996,6.97666,1.81968,0.000538,0.000538,0.000538
37,1715.33,0.62164,0.86413,1.19356,0,0,0,0,1.27746,7.2268,1.93373,0.0005248,0.0005248,0.0005248
38,1758.91,0.61795,0.84423,1.18435,0,0,0,0,1.1691,7.38069,1.83638,0.0005116,0.0005116,0.0005116
39,1800.57,0.5995,0.82632,1.16947,0,0,0,0,1.0911,7.38193,1.76473,0.0004984,0.0004984,0.0004984
40,1844.64,0.58826,0.77115,1.17097,0,0,0,0,1.04177,7.38698,1.7054,0.0004852,0.0004852,0.0004852
41,1888.68,0.57156,0.77026,1.1596,0,0,0,0,0.98082,7.24779,1.61043,0.000472,0.000472,0.000472
42,1933.27,0.58008,0.79418,1.16035,0,0,0,0,1.19649,7.32647,1.85248,0.0004588,0.0004588,0.0004588
43,1977.42,0.56459,0.79013,1.15847,0,0,0,0,1.1995,7.32374,1.83885,0.0004456,0.0004456,0.0004456
